"","id","host_id.x","neighbourhood_cleansed.x","room_type.x","price.x","number_of_reviews.x","last_review.x","reviews_per_month.x","host_id.y","neighbourhood_cleansed.y","room_type.y","price.y","number_of_reviews.y","last_review.y","reviews_per_month.y"
"13891",30783775,203731852,"Zuid","Hotel room",146,33,2020-02-20,1.46,203731852,"Zuid","Hotel room",146,33,2020-02-20,1.41
"13892",30784345,16213959,"De Pijp - Rivierenbuurt","Entire home/apt",150,6,2020-01-02,0.26,16213959,"De Pijp - Rivierenbuurt","Entire home/apt",150,6,2020-01-02,0.25
"13893",30785761,4621039,"Westerpark","Entire home/apt",200,1,2019-01-13,0.04,4621039,"Westerpark","Entire home/apt",200,1,2019-01-13,0.04
"13894",30787704,230343936,"Oud-Oost","Entire home/apt",225,5,2019-08-17,0.21,230343936,"Oud-Oost","Entire home/apt",187,5,2019-08-17,0.2
"13895",30789043,65859990,"Zuid","Entire home/apt",171,10,2020-01-02,0.42,65859990,"Zuid","Entire home/apt",139,10,2020-01-02,0.41
"13896",30809788,1640702,"De Pijp - Rivierenbuurt","Private room",37,91,2020-12-12,3.83,1640702,"De Pijp - Rivierenbuurt","Private room",30,96,2021-01-09,3.89
"13897",30810819,13198534,"De Pijp - Rivierenbuurt","Entire home/apt",200,3,2019-06-16,0.13,13198534,"De Pijp - Rivierenbuurt","Entire home/apt",200,3,2019-06-16,0.12
"13898",30811941,50740706,"Westerpark","Private room",50,0,NA,NA,50740706,"Westerpark","Private room",50,0,NA,NA
"13899",30812596,17584726,"Centrum-Oost","Private room",89,133,2020-11-15,5.57,17584726,"Centrum-Oost","Private room",89,133,2020-11-15,5.36
"13900",30814294,198405490,"De Baarsjes - Oud-West","Shared room",159,12,2020-10-25,0.51,198405490,"De Baarsjes - Oud-West","Shared room",155,12,2020-10-25,0.49
"13901",30817943,27087229,"Watergraafsmeer","Entire home/apt",260,0,NA,NA,27087229,"Watergraafsmeer","Entire home/apt",260,0,NA,NA
"13902",30818308,230533704,"Bos en Lommer","Entire home/apt",170,14,2020-03-09,0.7,230533704,"Bos en Lommer","Entire home/apt",170,14,2020-03-09,0.66
"13903",30821326,230550533,"Geuzenveld - Slotermeer","Private room",51,38,2019-09-01,1.59,230550533,"Geuzenveld - Slotermeer","Private room",46,38,2019-09-01,1.53
